Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,08-01-2020,727.9,724.95,729,708.3,718.9,718.2,717.84,8639443,6201707522,232857,3579984,41.44
INFY,EQ,09-01-2020,718.2,721.7,731.5,714.3,727.6,727.55,724.6,13521186,9797455292,161064,7560512,55.92
INFY,EQ,10-01-2020,727.55,740.45,742.9,730.5,740,738.15,737.69,9341405,6891078451,145267,2641897,28.28
INFY,EQ,13-01-2020,738.15,760,777.5,755,772.5,773.55,769.14,36952038,28421129305,753340,12985958,35.14
INFY,EQ,14-01-2020,773.55,769.95,776.95,767.2,775.5,775.65,772.12,11414418,8813264899,289583,5736351,50.26
INFY,EQ,15-01-2020,775.65,773.85,773.85,762.15,766.3,767.55,766.99,6047430,4638298219,96319,2874200,47.53
INFY,EQ,16-01-2020,767.55,770.7,772.5,760.25,767.2,767,766.35,5740586,4399309409,93520,2546218,44.35
INFY,EQ,17-01-2020,767,770.7,772.9,762.25,767.45,767.85,766.35,3762957,2883743850,98313,1716214,45.61
INFY,EQ,20-01-2020,767.85,771.6,774.4,762.95,768.85,768.45,767.06,3887680,2982074924,81096,1987288,51.12
INFY,EQ,21-01-2020,768.45,768.45,770.5,760.75,761.15,762.5,764.09,4448374,3398977857,83703,2831904,63.66
INFY,EQ,22-01-2020,762.5,768.45,778,766,769.8,770.2,771.58,9733935,7510499148,148501,5309541,54.55
INFY,EQ,23-01-2020,770.2,777.1,785.5,776.7,782.35,784.35,781.01,12528017,9784566375,197205,8696219,69.41
INFY,EQ,24-01-2020,784.35,775.75,786.5,773.6,783,782.75,779.2,7540490,5875559436,131263,3499303,46.41
INFY,EQ,27-01-2020,782.75,779.05,784.8,774.4,778.05,778.1,778.05,3741610,2911159552,102550,2126199,56.83
INFY,EQ,28-01-2020,778.1,781,781.8,772,778,778,775.99,5121009,3973833552,108248,3281703,64.08
INFY,EQ,29-01-2020,778,786.6,792.8,784.25,790,789.7,787.87,6832757,5383335132,83287,3600795,52.7
INFY,EQ,30-01-2020,789.7,789.7,789.7,778,780.6,780.7,781.35,3859680,3015775801,98962,2022411,52.4
INFY,EQ,31-01-2020,780.7,780.55,784.95,771.6,777.7,775.95,776.84,6092028,4732547587,72176,4123484,67.69
INFY,EQ,01-02-2020,775.95,775.1,791.25,769.25,777,779.5,779.56,5104062,3978923967,105374,2846062,55.76
INFY,EQ,03-02-2020,779.5,782,790.95,764.5,767.1,767.4,771.38,6416745,4949738299,132708,3721975,58
INFY,EQ,04-02-2020,767.4,770.1,789.9,770.1,788.1,787.85,781.11,5771311,4508019532,126688,3493877,60.54
INFY,EQ,05-02-2020,787.85,781,786,774.4,784.5,784.55,779.33,6310409,4917872804,142904,3754373,59.49
INFY,EQ,06-02-2020,784.55,784.35,786.8,770,772,771.35,775.78,7341622,5695512989,133662,4417336,60.17
INFY,EQ,07-02-2020,771.35,775.95,778.85,771,776,777.3,775.8,2853344,2213620888,53815,1395947,48.92
INFY,EQ,10-02-2020,777.3,774,778,769.75,773,773.2,772.86,3827682,2958264287,50917,2548802,66.59
INFY,EQ,11-02-2020,773.2,779,779.1,769.2,775,773.55,773.48,4312817,3335859223,83764,2771644,64.27
INFY,EQ,12-02-2020,773.55,775.8,783.25,775.1,780.8,781.05,780.73,2948825,2302228797,80507,1455179,49.35
INFY,EQ,13-02-2020,781.05,785,794,782.2,792.5,792.25,787.51,4387430,3455129906,80876,2182796,49.75
INFY,EQ,14-02-2020,792.25,794.5,799.2,784.6,786.3,786.45,791.78,5321680,4213573743,103460,2627167,49.37
INFY,EQ,17-02-2020,786.45,790.3,793.45,783.3,788.85,789.45,789.21,2929629,2312085827,69780,1441936,49.22
INFY,EQ,18-02-2020,789.45,785,799.05,783.65,798.5,797.65,793.27,5083346,4032462344,103674,2672902,52.58
INFY,EQ,19-02-2020,797.65,800,804.85,796.15,800.4,800.45,799.62,3985192,3186637946,79345,1993471,50.02
INFY,EQ,20-02-2020,800.45,803.25,806.1,793.85,796.8,797,800.74,4564569,3655039599,94252,2324240,50.92
INFY,EQ,24-02-2020,797,800.1,811.6,792.15,795.9,795.85,804.05,6627536,5328879150,130286,3283926,49.55
INFY,EQ,25-02-2020,795.85,799,806,795.4,799.5,798.4,799.93,6996695,5596900401,114637,4262139,60.92
INFY,EQ,26-02-2020,798.4,793.95,801.45,780.5,782.25,782.75,791.65,8760569,6935314353,168481,5489084,62.66
INFY,EQ,27-02-2020,782.75,778,780.75,772.2,776.55,777.85,777.16,5223386,4059425155,100716,2619919,50.16
INFY,EQ,28-02-2020,777.85,750,756.8,722.05,732,731.7,738.68,14123957,10433101671,277778,7459667,52.82
INFY,EQ,02-03-2020,731.7,737,765.9,733.75,739.4,741.05,750.99,9821523,7375861532,155968,4844883,49.33
