Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,08-01-2020,2205.85,2205,2260,2202.05,2253.35,2255.25,2240.22,5197454,11643424341,172815,2288411,44.03
TCS,EQ,09-01-2020,2255.25,2248.75,2251.95,2210,2220,2214.35,2223.77,3734173,8303924064,134309,1805834,48.36
TCS,EQ,10-01-2020,2214.35,2228,2234,2208,2213,2213.55,2219.51,1915807,4252150307,102938,767417,40.06
TCS,EQ,13-01-2020,2213.55,2217.85,2218.95,2184.7,2193,2190.35,2197.65,2843893,6249872578,113645,1486327,52.26
TCS,EQ,14-01-2020,2190.35,2195,2229.8,2195,2210,2206.9,2212.56,2948452,6523621598,132106,1276382,43.29
TCS,EQ,15-01-2020,2206.9,2213,2231,2194.2,2225.05,2226.9,2212.65,2620681,5798644642,114594,1513859,57.77
TCS,EQ,16-01-2020,2226.9,2226.95,2249,2215,2240,2238.8,2235.81,3117214,6969483359,113056,1736185,55.7
TCS,EQ,17-01-2020,2238.8,2240.75,2253.55,2213,2220,2219.1,2232.37,3281059,7324550065,123528,1603410,48.87
TCS,EQ,20-01-2020,2219.1,2194.9,2242.2,2156.2,2174,2170.35,2182.48,5817599,12696797977,216725,2321286,39.9
TCS,EQ,21-01-2020,2170.35,2169.95,2186.55,2158.05,2172.35,2171.05,2170.95,1902980,4131268512,115866,865491,45.48
TCS,EQ,22-01-2020,2171.05,2181,2210,2173.7,2209.8,2206.9,2198.89,1773686,3900137863,109240,782190,44.1
TCS,EQ,23-01-2020,2206.9,2209.8,2217.75,2183.7,2188,2190.95,2200.81,2069866,4555383340,110107,1214278,58.66
TCS,EQ,24-01-2020,2190.95,2190.95,2190.95,2170,2185,2183.4,2179.72,1319430,2875988029,55949,607438,46.04
TCS,EQ,27-01-2020,2183.4,2189.7,2193.45,2165,2168.3,2169.25,2172.99,1549101,3366187862,62160,771303,49.79
TCS,EQ,28-01-2020,2169.25,2174,2187.8,2152,2183.8,2183.75,2169.48,1743024,3781454133,79762,906541,52.01
TCS,EQ,29-01-2020,2183.75,2185,2186.95,2150,2154,2154.6,2164.12,2306761,4992115935,88479,1307797,56.69
TCS,EQ,30-01-2020,2154.6,2160,2165,2125,2134.65,2137.85,2140.26,2098567,4491487116,88883,1056509,50.34
TCS,EQ,31-01-2020,2137.85,2139.4,2144.35,2071.6,2082.4,2079.05,2098.15,3287223,6897092273,131558,2194449,66.76
TCS,EQ,01-02-2020,2079.05,2079.5,2180.7,2063.6,2167.5,2164.85,2129.7,3319716,7070007900,112061,1798795,54.19
TCS,EQ,03-02-2020,2164.85,2152,2194.7,2093.2,2110,2102.5,2136.37,4728073,10100912568,194574,2519349,53.28
TCS,EQ,04-02-2020,2102.5,2129,2136.7,2086.6,2111.95,2107.75,2111.28,3509339,7409207264,130941,1569247,44.72
TCS,EQ,05-02-2020,2107.75,2115,2156.7,2104.3,2147.5,2146.55,2136.16,2439322,5210791951,132082,1373557,56.31
TCS,EQ,06-02-2020,2146.55,2145,2174.2,2115.5,2129.45,2128.35,2146.02,2640065,5665630316,97158,1284341,48.65
TCS,EQ,07-02-2020,2128.35,2139,2151,2119,2138,2136.55,2131.41,2083442,4440665629,73200,1151799,55.28
TCS,EQ,10-02-2020,2136.55,2140.9,2167,2119,2153.1,2161.95,2149.9,2383032,5123271169,88969,1298489,54.49
TCS,EQ,11-02-2020,2161.95,2163,2174.8,2147.6,2152.7,2153.4,2157.68,1335820,2882266531,76595,606633,45.41
TCS,EQ,12-02-2020,2153.4,2151.1,2185,2150,2173.1,2170.75,2173.56,1620407,3522057735,98406,791500,48.85
TCS,EQ,13-02-2020,2170.75,2172.95,2197,2171,2191,2191.95,2186.71,1645948,3599206272,73525,886163,53.84
TCS,EQ,14-02-2020,2191.95,2188,2212,2171,2183,2184.2,2190.86,1500115,3286548194,117257,662963,44.19
TCS,EQ,17-02-2020,2184.2,2196.95,2217,2190.2,2202.05,2203.25,2204.55,1774724,3912463072,81968,868712,48.95
TCS,EQ,18-02-2020,2203.25,2199.95,2221,2186.05,2215,2215.75,2208.09,2486223,5489791842,98311,1511442,60.79
TCS,EQ,19-02-2020,2215.75,2215.75,2230,2190.5,2194.1,2196.35,2209.81,1760463,3890285125,77338,1061209,60.28
TCS,EQ,20-02-2020,2196.35,2204.5,2214.4,2151.25,2157,2156.8,2189.19,2317278,5072973394,121407,1447215,62.45
TCS,EQ,24-02-2020,2156.8,2156,2178.95,2106.7,2112,2115.35,2152.36,3092877,6656983182,120347,1871186,60.5
TCS,EQ,25-02-2020,2115.35,2115.5,2176.65,2111,2163,2156.15,2148.89,2674567,5747361447,116295,1382198,51.68
TCS,EQ,26-02-2020,2156.15,2154,2163.9,2112.95,2122,2123.6,2137.17,2686842,5742251457,155115,1586103,59.03
TCS,EQ,27-02-2020,2123.6,2119.95,2119.95,2086.2,2097,2105.5,2101.98,2349001,4937549662,112336,1244106,52.96
TCS,EQ,28-02-2020,2105.5,2068,2069.5,1990,2010,2000.15,2026.81,4298076,8711395574,229475,2304792,53.62
TCS,EQ,02-03-2020,2000.15,2035,2053.95,1985.7,2000,2001.3,2035.99,2667076,5430128654,118184,1243997,46.64
TCS,EQ,03-03-2020,2001.3,2020,2060,2012,2041,2036.2,2033.79,2757585,5608338599,139234,1397749,50.69
TCS,EQ,04-03-2020,2036.2,2056,2094.45,2025,2082.1,2083.2,2059.4,3237002,6666279935,131156,1497508,46.26
TCS,EQ,05-03-2020,2083.2,2085.7,2147.75,2084.05,2129,2125.05,2121.54,3937056,8352624017,193693,2287407,58.1
TCS,EQ,06-03-2020,2125.05,2098,2123.65,2071.6,2115.4,2116.45,2097.98,2595027,5444309390,130651,1250756,48.2
TCS,EQ,09-03-2020,2116.45,2075,2079.9,1935,1981,1972.35,1989.28,4940982,9829011648,227592,2739821,55.45
TCS,EQ,11-03-2020,1972.35,1933,1987.3,1920,1952.75,1953.7,1959.39,6796752,13317485489,213057,4563612,67.14
TCS,EQ,12-03-2020,1953.7,1904,1908.4,1758.35,1772.9,1769.85,1815.1,8728972,15843998583,252037,5822556,66.7
TCS,EQ,13-03-2020,1769.85,1687.9,1820,1506.05,1820,1806.3,1736.57,8029725,13944191600,280631,4008094,49.92
TCS,EQ,16-03-2020,1806.3,1755,1842.25,1675.85,1684.5,1696.4,1760.08,7844420,13806790038,380004,4974137,63.41
TCS,EQ,17-03-2020,1696.4,1730,1731,1623.15,1632,1658,1687.98,5713269,9643907647,224133,3892439,68.13
TCS,EQ,18-03-2020,1658,1676.8,1713.55,1627.75,1670,1654.4,1667.41,7259111,12103889122,276794,4565294,62.89
TCS,EQ,19-03-2020,1654.4,1559.7,1685.45,1546.75,1636,1636.35,1622.31,5135162,8330841286,248319,2515229,48.98
TCS,EQ,20-03-2020,1636.35,1630,1869,1627,1792.95,1797.45,1787.53,8547645,15279137654,361688,3868118,45.25
TCS,EQ,23-03-2020,1797.45,1620,1750,1617.75,1631,1669.7,1687.63,7003558,11819398271,190709,4237215,60.5
TCS,EQ,24-03-2020,1669.7,1653.05,1770,1632.85,1699.95,1703.15,1716.94,6354209,10909810045,309791,3520631,55.41
TCS,EQ,25-03-2020,1703.15,1700,1810,1680,1732,1750.3,1735.21,2765527,4798769889,200205,1152908,41.69
TCS,EQ,26-03-2020,1750.3,1831.6,1832.05,1722.55,1785,1790.95,1783.59,4556071,8126171884,251428,2650292,58.17
TCS,EQ,27-03-2020,1790.95,1820,1850,1750.4,1850,1824.5,1796.8,4331310,7782510211,217336,2319309,53.55
TCS,EQ,30-03-2020,1824.5,1766,1905,1763.55,1781.7,1778.5,1813.46,8513608,15439075102,277606,5214886,61.25
TCS,EQ,31-03-2020,1778.5,1837.4,1855,1780,1819,1826.1,1824.45,3927593,7165706825,190774,1752624,44.62
TCS,EQ,01-04-2020,1826.1,1825.9,1834.75,1702,1714,1708.75,1763.66,4941898,8715811596,221364,2619484,53.01
TCS,EQ,03-04-2020,1708.75,1740,1740,1650,1659,1654.2,1688.3,5735529,9683316717,244588,2453808,42.78
TCS,EQ,07-04-2020,1654.2,1710,1785.85,1705,1765.85,1775.2,1747.2,5427965,9483750316,232534,3020094,55.64
TCS,EQ,08-04-2020,1775.2,1760,1806,1701,1708,1705.45,1736.76,6285616,10916585385,276600,2533692,40.31
TCS,EQ,09-04-2020,1705.45,1750.45,1778.8,1731.2,1761,1766.15,1759.13,5307649,9336868535,184889,2682616,50.54
TCS,EQ,13-04-2020,1766.15,1761,1787,1746,1761.6,1759.25,1761.05,2990478,5266381663,105582,1242289,41.54
TCS,EQ,15-04-2020,1759.25,1785,1812,1727.8,1735,1735.15,1774.09,4761401,8447176543,196087,2136320,44.87
TCS,EQ,16-04-2020,1735.15,1709.95,1764.9,1675.05,1720.5,1716.05,1720.54,6245583,10745755665,284814,2110034,33.78
TCS,EQ,17-04-2020,1716.05,1800,1851.95,1753,1810,1806.2,1815.31,9895825,17964025727,363192,3217550,32.51
TCS,EQ,20-04-2020,1806.2,1830,1830,1802.5,1818.6,1818.65,1815.63,3244293,5890435541,136285,1407671,43.39
TCS,EQ,21-04-2020,1818.65,1765,1794.6,1727.7,1737.75,1737.65,1749.84,5122606,8963743509,190349,2457408,47.97
TCS,EQ,22-04-2020,1737.65,1737.65,1790,1719.15,1773,1769.5,1754.72,3829839,6720279558,180947,1518445,39.65
TCS,EQ,23-04-2020,1769.5,1780,1900,1760.85,1867.1,1878.25,1844.03,5934424,10943235330,257398,2087199,35.17
TCS,EQ,24-04-2020,1878.25,1840.7,1851.95,1807.8,1821,1818.55,1825.54,2987150,5453169062,142967,1103567,36.94
TCS,EQ,27-04-2020,1818.55,1832.3,1875,1825,1834,1836.6,1853.6,3374747,6255422141,140822,1333349,39.51
TCS,EQ,28-04-2020,1836.6,1865,1868,1832.6,1865,1859.05,1851.06,2678512,4958095390,117278,1119539,41.8
TCS,EQ,29-04-2020,1859.05,1874,1912.55,1850.05,1903,1905.65,1882.9,4241579,7986490066,158389,1705279,40.2
TCS,EQ,30-04-2020,1905.65,1980,2032,1942.2,2019.55,2014.45,1989.49,5915950,11769706998,241064,2636626,44.57
TCS,EQ,04-05-2020,2014.45,1966,1966,1913.65,1930.5,1930.45,1939.3,3729409,7232442404,165528,1752041,46.98
TCS,EQ,05-05-2020,1930.45,1955.1,1977,1927,1932.75,1932.75,1952.86,2905541,5674116774,147469,1095381,37.7
TCS,EQ,06-05-2020,1932.75,1939.8,1953.7,1893.6,1908.5,1903.6,1920.77,3517432,6756179816,172517,1154410,32.82
TCS,EQ,07-05-2020,1903.6,1910,1934.45,1883.35,1895.95,1891.65,1909.43,3166784,6046765457,154795,941078,29.72
TCS,EQ,08-05-2020,1891.65,1939.1,1939.5,1886.25,1897,1893.4,1902.14,2686536,5110170291,122431,858746,31.96
TCS,EQ,11-05-2020,1893.4,1909,1951.4,1909,1936,1935.3,1939.47,2449846,4751415049,120116,738177,30.13
TCS,EQ,12-05-2020,1935.3,1933.4,1956.5,1910.25,1948,1949.5,1941.23,3256630,6321867053,177881,992103,30.46
TCS,EQ,13-05-2020,1949.5,1994,1994,1925.65,1944.5,1949.65,1946.67,2656665,5171649640,127103,938030,35.31
TCS,EQ,14-05-2020,1949.65,1910,1923.1,1891.1,1902,1902.35,1905.48,2263204,4312480668,111897,931246,41.15
TCS,EQ,15-05-2020,1902.35,1916,1917.4,1865.2,1903,1892.9,1884.25,3173682,5980003285,157447,1312065,41.34
TCS,EQ,18-05-2020,1892.9,1907,1952.95,1872.1,1940.05,1945.6,1921.1,3727896,7161666967,158352,1140903,30.6
TCS,EQ,19-05-2020,1945.6,1903,1966.45,1903,1948.1,1948.65,1945.9,3198699,6224360593,148060,1142215,35.71
TCS,EQ,20-05-2020,1948.65,1950,1962.9,1931.7,1953.55,1953.6,1946.92,2778505,5409514559,130438,1398276,50.32
TCS,EQ,21-05-2020,1953.6,1946,1998,1941.15,1990.1,1991.2,1977.64,3400925,6725802266,125723,1818084,53.46
TCS,EQ,22-05-2020,1991.2,1977.1,2032,1961.25,2015.15,2020.35,2005.12,3663422,7345594791,129277,1423498,38.86
TCS,EQ,26-05-2020,2020.35,2015,2024,1925,1948.95,1943,1969.21,4575512,9010142135,170636,2223882,48.6
TCS,EQ,27-05-2020,1943,1959,2010,1941.25,2008,2005.3,1975.64,3482185,6879539543,131846,1174548,33.73
TCS,EQ,28-05-2020,2005.3,1988.5,2014,1971.3,2006.25,2004.3,1988.53,3475788,6911722438,149827,1346787,38.75
TCS,EQ,29-05-2020,2004.3,1982,2002.65,1962.4,1980.9,1972.35,1977.79,7237765,14314766618,180576,4581484,63.3
TCS,EQ,01-06-2020,1972.35,1990,2060,1981.1,2038,2045.25,2033.41,3747850,7620914144,146513,1266772,33.8
TCS,EQ,02-06-2020,2045.25,2060.2,2081,2040.05,2049.95,2047.15,2057.96,2443886,5029413813,116685,897807,36.74
TCS,EQ,03-06-2020,2047.15,2051.85,2063.75,2020,2048,2046.15,2038.22,3699799,7540990258,154423,1958989,52.95
TCS,EQ,04-06-2020,2046.15,2046.75,2100,2046.75,2094.95,2091.55,2075.82,4048593,8404139688,147400,1525655,37.68
TCS,EQ,05-06-2020,2091.55,2091.6,2098,2040.3,2053,2048.25,2054.59,3573299,7341657006,143792,1171097,32.77
TCS,EQ,08-06-2020,2048.25,2078.25,2095,2062.1,2070,2071.75,2078.75,2957841,6148612154,108037,918772,31.06
TCS,EQ,09-06-2020,2071.75,2063.1,2095.5,2060.25,2075,2072.05,2079.22,2910152,6050853765,150567,1285171,44.16
TCS,EQ,10-06-2020,2072.05,2077.05,2132,2073.5,2109,2108.75,2108.53,5168494,10897927413,187675,1657664,32.07
TCS,EQ,11-06-2020,2108.75,2100,2105,2061.8,2069,2067.65,2077.3,2269569,4714585320,100095,687131,30.28
TCS,EQ,12-06-2020,2067.65,2011.2,2049.2,2011,2037.6,2039.5,2026.47,2842757,5760775770,130558,1139648,40.09
TCS,EQ,15-06-2020,2039.5,2039.1,2059,2000.95,2036.2,2029.9,2027.78,2399028,4864706968,97163,621670,25.91
TCS,EQ,16-06-2020,2029.9,2065,2073.95,2031,2041.8,2045.8,2051.87,2146528,4404387582,89213,753988,35.13
TCS,EQ,17-06-2020,2045.8,2046,2058.85,2026.55,2048,2047.8,2042.73,2703546,5522609995,92658,1286034,47.57
TCS,EQ,18-06-2020,2047.8,2045,2059.2,2025.2,2036.2,2038.1,2039.63,1944471,3966007264,77874,625354,32.16
TCS,EQ,19-06-2020,2038.1,2042,2090,2032,2043.65,2044.6,2050.29,5681784,11649300601,152183,3384227,59.56
TCS,EQ,22-06-2020,2044.6,2050,2052.25,2019.15,2032,2027.95,2033.74,3196138,6500116008,109018,1382233,43.25
TCS,EQ,23-06-2020,2027.95,2027,2044,2010,2039,2035.3,2027.43,4206122,8527623665,136481,985706,50.69
TCS,EQ,24-06-2020,2035.3,2034,2064.25,2031.6,2042,2042.2,2052.03,2560951,5255143083,125500,907215,35.42
TCS,EQ,25-06-2020,2042.2,2035,2060,2009.25,2015.4,2016.1,2033.26,3044089,6189426011,127554,1367041,44.91
TCS,EQ,26-06-2020,2016.1,2025,2132,2019.95,2115.2,2118.85,2095.55,6300912,13203873994,237429,1985173,31.51
TCS,EQ,29-06-2020,2118.85,2108,2127.6,2091.3,2103.45,2101.65,2104.79,3076344,6475066354,109993,1159263,37.68
TCS,EQ,30-06-2020,2101.65,2100,2111.9,2075.05,2085.05,2082.15,2091.7,3071877,6425458895,121691,1277270,41.58
TCS,EQ,01-07-2020,2082.15,2079.7,2113.95,2079.5,2095,2092.05,2100.06,2503466,5257440479,103067,829392,33.13
TCS,EQ,02-07-2020,2092.05,2102,2165,2098,2159,2157.15,2143.79,3758709,8057866454,140145,1413974,37.62
TCS,EQ,03-07-2020,2157.15,2163.65,2205,2160.25,2195,2199.65,2188.8,4185215,9160581122,130448,1461405,34.92
TCS,EQ,06-07-2020,2199.65,2205,2269.9,2205,2261,2263.2,2247.63,5190366,11666032836,161168,2379673,45.85
TCS,EQ,07-07-2020,2263.2,2275,2302.7,2232.15,2269.9,2269.9,2263.92,5630081,12746071796,206374,1863660,33.1
TCS,EQ,08-07-2020,2269.9,2270,2274.4,2207.6,2219,2218.9,2240.93,2793674,6260425745,130484,1098745,39.33
TCS,EQ,09-07-2020,2218.9,2229,2244.5,2191.05,2212.5,2204.35,2209.06,3443998,7608014933,133367,846325,24.57
TCS,EQ,10-07-2020,2204.35,2205.25,2249.85,2176,2221.1,2222.35,2210.93,9610327,21247734506,292369,1433298,14.91
TCS,EQ,13-07-2020,2222.35,2220,2244.95,2210,2222.25,2220,2225.83,2963525,6596301813,100495,938363,31.66
TCS,EQ,14-07-2020,2220,2210,2239,2165,2175,2171.95,2199.6,2976749,6547668460,117480,1212619,40.74
TCS,EQ,15-07-2020,2171.95,2185,2260,2181.1,2231.1,2233.9,2228.76,5569322,12412685911,201144,1964036,35.27
TCS,EQ,16-07-2020,2233.9,2244,2333,2220.1,2233,2234.75,2275.23,8582120,19526280239,279321,3128877,36.46
TCS,EQ,17-07-2020,2234.75,2237,2243.9,2190.05,2207.9,2200.75,2204.05,4509143,9938360279,183317,1875874,41.6
TCS,EQ,20-07-2020,2200.75,2201,2226.9,2190.8,2214,2207.9,2205.5,2952719,6512221317,99805,901482,30.53
TCS,EQ,21-07-2020,2207.9,2230,2238.65,2201.15,2224.55,2225.05,2220.42,2665386,5918277153,128640,1177304,44.17
TCS,EQ,22-07-2020,2225.05,2231,2231,2184.2,2190,2190.95,2199.54,2861698,6294421979,108851,1542274,53.89
TCS,EQ,23-07-2020,2190.95,2190.95,2190.95,2163,2174.2,2171.2,2175.33,2265791,4928835981,100469,1015290,44.81
TCS,EQ,24-07-2020,2171.2,2154.5,2163,2125.1,2158.8,2157.4,2143.7,3665123,7856912134,154927,1392828,38
TCS,EQ,27-07-2020,2157.4,2165,2215,2163.5,2205,2206.8,2196.82,4248837,9333922683,185606,1148531,27.03
TCS,EQ,28-07-2020,2206.8,2215,2320,2215,2310.2,2309.75,2273.26,8092458,18396258569,261902,3170172,39.17
TCS,EQ,29-07-2020,2309.75,2292,2342,2246.05,2279,2276.05,2291.87,6090440,13958512383,231420,1364265,22.4
TCS,EQ,30-07-2020,2276.05,2285.9,2358,2272.25,2281,2279.5,2315.35,7098913,16436494608,252271,1819696,25.63
TCS,EQ,31-07-2020,2279.5,2303.15,2334.8,2257.45,2290.45,2281.4,2295.95,4723290,10844452627,183229,877006,18.57
TCS,EQ,03-08-2020,2281.4,2290.45,2303.85,2230.7,2249,2254.15,2255.66,4012445,9050704299,124563,1886262,47.01
TCS,EQ,04-08-2020,2254.15,2259.95,2269.65,2225.05,2249.95,2249.7,2248,2927953,6582042650,113209,1048510,35.81
TCS,EQ,05-08-2020,2249.7,2260,2300,2253,2259,2259.5,2270.76,3800641,8630352070,140871,1096392,28.85
TCS,EQ,06-08-2020,2259.5,2275,2319.5,2265.35,2309.85,2308.1,2300.33,4748348,10922785843,179033,1406212,29.61
TCS,EQ,07-08-2020,2308.1,2308,2328,2287,2295,2295.35,2303.8,3165495,7292669632,98547,1385964,43.78
TCS,EQ,10-08-2020,2295.35,2318,2325,2276.05,2283,2282.8,2301.82,2929385,6742908492,83569,1206424,41.18
TCS,EQ,11-08-2020,2282.8,2283,2312,2275.6,2282.5,2279.9,2290.19,2774509,6354160531,91227,1190111,42.89
TCS,EQ,12-08-2020,2279.9,2288.35,2296.4,2246.55,2262,2257.35,2265.65,3415766,7738926541,101021,1350702,39.54
TCS,EQ,13-08-2020,2257.35,2273,2300,2250.5,2260,2254.45,2270.22,2695682,6119799489,105012,973637,36.12
TCS,EQ,14-08-2020,2254.45,2277,2281.3,2233.1,2243.85,2242.15,2256.4,2270405,5122949863,95783,1016058,44.75
TCS,EQ,17-08-2020,2242.15,2263,2270,2238.25,2260.5,2253.4,2253.53,2625670,5917015489,78270,1077702,41.04
TCS,EQ,18-08-2020,2253.4,2262.8,2289,2248.3,2269.8,2269.75,2269.85,3493411,7929511706,123985,1312308,37.57
TCS,EQ,19-08-2020,2269.75,2276.35,2284.6,2252.5,2260,2256.6,2264.81,2843007,6438870077,87911,1316273,46.3
TCS,EQ,20-08-2020,2256.6,2257,2276.55,2240.05,2249,2252.85,2255.13,2895265,6529205376,97538,1181770,40.82
TCS,EQ,21-08-2020,2252.85,2260,2271,2241.05,2249.75,2248.6,2252.12,1975304,4448615242,76072,700157,35.45
TCS,EQ,24-08-2020,2248.6,2250.6,2259.95,2230,2250.25,2248.1,2245.05,2167987,4867239990,70491,745803,34.4
TCS,EQ,25-08-2020,2248.1,2245,2250,2233.55,2242,2242.65,2242.51,1663454,3730304575,65398,636403,38.26
TCS,EQ,26-08-2020,2242.65,2242,2259.9,2216.45,2257,2253.5,2237.68,2618159,5858592736,100248,954842,36.47
TCS,EQ,27-08-2020,2253.5,2266,2287.35,2241.75,2250,2248.4,2265.38,3579397,8108687765,113510,1234036,34.48
TCS,EQ,28-08-2020,2248.4,2268.4,2279.95,2235.1,2238.25,2238.55,2248.99,2941156,6614621419,100143,1359678,46.23
TCS,EQ,31-08-2020,2238.55,2240,2276.2,2228,2245.95,2257.25,2252.44,6018160,13555530496,182980,2955109,49.1
TCS,EQ,01-09-2020,2257.25,2269,2278,2241.3,2250,2246.35,2258.27,3610908,8154397946,122003,1581545,43.8
TCS,EQ,02-09-2020,2246.35,2247,2268.75,2241.65,2263.75,2265.15,2257.34,2084152,4704640877,89121,1004535,48.2
TCS,EQ,03-09-2020,2265.15,2268,2324,2268,2299,2299.5,2301.29,4654146,10710523658,170993,1233359,26.5
TCS,EQ,04-09-2020,2299.5,2275,2324.25,2262.95,2297.65,2288.8,2295.35,5232180,12009690380,177219,2085700,39.86
TCS,EQ,07-09-2020,2288.8,2289,2343.5,2283.35,2330,2327.05,2319.63,4620416,10717678248,157714,1077421,23.32
TCS,EQ,08-09-2020,2327.05,2335.95,2390.45,2327.05,2343.95,2348.2,2365.85,7454161,17635425079,233593,1535823,20.6
TCS,EQ,09-09-2020,2348.2,2325,2359,2320,2322,2327.65,2336.59,3866542,9034529930,114778,1379634,35.68
TCS,EQ,10-09-2020,2327.65,2335,2348.5,2324.3,2329.1,2331.15,2334.85,2308813,5390730799,96578,860606,37.27
TCS,EQ,11-09-2020,2331.15,2330.95,2383,2330.15,2370.3,2374.1,2367.47,4145429,9814176118,161900,1407826,33.96
TCS,EQ,14-09-2020,2374.1,2384.1,2505.75,2381.85,2485,2491.4,2447.42,7512284,18385694525,259748,2210359,29.42
TCS,EQ,15-09-2020,2491.4,2491.4,2538,2464.6,2489,2491.4,2502.8,7318773,18317394072,229851,1906819,26.05
TCS,EQ,16-09-2020,2491.4,2488.95,2507.6,2477.3,2502,2503,2492.52,3074013,7662047812,126981,1151748,37.47
TCS,EQ,17-09-2020,2503,2480,2495.75,2450.6,2466.05,2460.95,2473.58,4828231,11943032180,162667,2534877,52.5
TCS,EQ,18-09-2020,2460.95,2485,2500.4,2436.4,2457.5,2449.9,2466.95,4183256,10319878331,132358,2251126,53.81
TCS,EQ,21-09-2020,2449.9,2465,2504.9,2452.15,2467,2465.3,2484.95,4598809,11427829682,182859,1287735,28
TCS,EQ,22-09-2020,2465.3,2485,2555,2458,2527,2522.95,2513.02,7499927,18847485589,227930,1600955,21.35
