Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WIPRO,EQ,08-01-2020,255.2,254,256.15,252.55,254.6,254.8,254.57,2794410,711375621.5,33853,975070,34.89
WIPRO,EQ,09-01-2020,254.8,254.25,256.5,252.65,255,253.65,254.33,2495023,634552359.4,28366,885016,35.47
WIPRO,EQ,10-01-2020,253.65,253.95,255.2,251,251.95,251.75,253.15,2056577,520621896.2,31607,827981,40.26
WIPRO,EQ,13-01-2020,251.75,254,257.9,252.85,255.3,254.8,255.37,6963599,1778262375,56180,2651477,38.08
WIPRO,EQ,14-01-2020,254.8,256.85,258.35,254.55,256,257.2,256.53,7296777,1871850317,62567,2040677,27.97
WIPRO,EQ,15-01-2020,257.2,254,256,246.6,248.2,248.25,248.86,10140451,2523542002,82450,2235509,22.05
WIPRO,EQ,16-01-2020,248.25,248,252.6,247,250.3,250.45,250.14,8811836,2204192486,63303,4702404,53.36
WIPRO,EQ,17-01-2020,250.45,252,253.9,249.65,250.85,251.1,251.84,4140818,1042822125,38092,1785570,43.12
WIPRO,EQ,20-01-2020,251.1,250.8,250.8,247.2,248.2,248,248.48,1908583,474250615.7,19877,541644,28.38
WIPRO,EQ,21-01-2020,248,247.9,248.2,246,246.85,247.1,247.13,1507942,372661226,26134,599581,39.76
WIPRO,EQ,22-01-2020,247.1,248.6,251.95,245.4,246.4,245.85,247.89,3400424,842947677.3,51607,1348075,39.64
WIPRO,EQ,23-01-2020,245.85,246.45,249.1,245.35,248.95,248.7,247.73,1696544,420282524,30500,741567,43.71
WIPRO,EQ,24-01-2020,248.7,248.65,249.45,246.25,247.75,247.6,248,1710777,424270071.4,23039,593224,34.68
WIPRO,EQ,27-01-2020,247.6,247.9,247.9,244.75,245.2,245.35,245.52,1653497,405968520.3,19616,692324,41.87
WIPRO,EQ,28-01-2020,245.35,245.9,246.1,241.8,244,244.05,243.42,2136181,519983662.4,38147,812178,38.02
WIPRO,EQ,29-01-2020,244.05,244.6,247.4,243.25,246.3,246.75,246.22,2004689,493600906.2,33122,977511,48.76
WIPRO,EQ,30-01-2020,246.75,247.6,247.6,240.2,240.95,240.7,242.41,2147465,520557483.2,29602,1001778,46.65
WIPRO,EQ,31-01-2020,240.7,238,239.15,235,236.5,236.8,236.84,5553638,1315299455,58779,2563367,46.16
WIPRO,EQ,01-02-2020,236.8,236.5,239.35,234.3,237.15,236.8,236.5,2100563,496778392.8,20180,554095,26.38
WIPRO,EQ,03-02-2020,236.8,237.7,240.15,235.25,236.8,237.4,237.39,4231830,1004574851,47901,2279484,53.87
WIPRO,EQ,04-02-2020,237.4,239,241.25,237.9,240.55,240.25,239.57,3164756,758192230.2,36774,1765229,55.78
WIPRO,EQ,05-02-2020,240.25,241.6,243,237.3,242.4,242.25,240.58,3875603,932408905.2,44897,2147661,55.41
WIPRO,EQ,06-02-2020,242.25,242.75,245.95,241.65,243.65,243.65,243.87,3056198,745328704.7,32387,1501140,49.12
WIPRO,EQ,07-02-2020,243.65,247,247,242.95,243.55,243.95,244.49,2759512,674665035.5,31057,1013202,36.72
WIPRO,EQ,10-02-2020,243.95,245.4,245.65,239.45,241.25,240.9,241.01,2258996,544447009.7,25746,1153023,51.04
WIPRO,EQ,11-02-2020,240.9,240.55,242.9,239.8,241.15,241.25,241.15,2730310,658426524.8,29387,1586816,58.12
WIPRO,EQ,12-02-2020,241.25,241.7,247.15,241.7,244.7,244.45,244.84,3419400,837220850.9,30707,1492305,43.64
WIPRO,EQ,13-02-2020,244.45,245.8,245.8,242.5,243.7,243.75,243.73,2414955,588606959.9,23979,1249136,51.73
WIPRO,EQ,14-02-2020,243.75,243.8,245.35,242,243.5,242.9,243.38,1809793,440467337.9,23737,939987,51.94
WIPRO,EQ,17-02-2020,242.9,242.9,245,241.95,243.85,243.8,243.37,1017778,247693012.9,12576,351106,34.5
WIPRO,EQ,18-02-2020,243.8,243.75,244.85,241.25,244,244.05,242.94,1252637,304310138.9,16527,403218,32.19
WIPRO,EQ,19-02-2020,244.05,244.5,248.35,244.5,247.95,247.6,246.89,1785384,440789981.6,24285,860386,48.19
WIPRO,EQ,20-02-2020,247.6,248,248.55,245.1,245.85,245.7,246.71,2120807,523234630.9,24362,1004565,47.37
WIPRO,EQ,24-02-2020,245.7,245,247.8,242.4,244.05,244.2,245.45,3521975,864471815.9,38370,1805480,51.26
WIPRO,EQ,25-02-2020,244.2,244.15,246.65,242.45,244,244.1,244.35,2529786,618142911.9,23406,1303760,51.54
WIPRO,EQ,26-02-2020,244.1,243.05,243.45,238.4,239.95,239.9,239.99,3994194,958562328.1,35163,2194135,54.93
WIPRO,EQ,27-02-2020,239.9,238.95,238.95,230.5,231.45,231.6,233.24,4866814,1135130613,63615,1768438,36.34
WIPRO,EQ,28-02-2020,231.6,228.5,229.5,219.7,222.4,221.45,223.36,5637309,1259175651,75674,2538506,45.03
WIPRO,EQ,02-03-2020,221.45,225.8,227,218.4,220.65,220.8,223.58,5766175,1289195929,65848,3078019,53.38
WIPRO,EQ,03-03-2020,220.8,224,225.8,220.6,223.25,223.7,223.1,5173113,1154103726,41834,3302375,63.84
WIPRO,EQ,04-03-2020,223.7,224.9,229.75,222.45,228.9,228.85,225.53,4518178,1018974224,81745,2179281,48.23
WIPRO,EQ,05-03-2020,228.85,229.05,233.9,228.65,230.3,229.7,231.29,2970778,687112891.3,42428,1058565,35.63
WIPRO,EQ,06-03-2020,229.7,225,226,222.55,223.25,223.55,224.18,2934283,657818198.6,30480,1552423,52.91
WIPRO,EQ,09-03-2020,223.55,220.2,221,213,215,214.4,215.27,8731114,1879529837,67373,5794746,66.37
WIPRO,EQ,11-03-2020,214.4,203.7,214.4,203.7,212.95,213.1,211.6,6135166,1298193543,73294,2749445,44.81
WIPRO,EQ,12-03-2020,213.1,204,206.95,197.5,200,199.1,202.82,5382005,1091585741,63340,2235347,41.53
WIPRO,EQ,13-03-2020,199.1,199,204.45,169.25,199,197.4,192.96,6521699,1258410025,76155,2130280,32.66
WIPRO,EQ,16-03-2020,197.4,193.95,193.95,178.55,180,179.75,184.72,5600578,1034524025,91089,2584665,46.15
WIPRO,EQ,17-03-2020,179.75,178.55,185.55,170.75,173.2,173.1,179.3,6087886,1091565835,53650,2884771,47.39
WIPRO,EQ,18-03-2020,173.1,176.7,178.5,168.5,171.9,169.95,173.17,6367196,1102614408,65169,2784608,43.73
WIPRO,EQ,19-03-2020,169.95,165,171.35,159.4,161.8,162.35,166.44,5990642,997069281.5,69150,2185057,36.47
WIPRO,EQ,20-03-2020,162.35,163.1,185.8,162.5,178,179.2,176.72,10160070,1795536402,86219,2660280,26.18
WIPRO,EQ,23-03-2020,179.2,165,177,165,171.5,170.15,173,5360393,927343313.5,56816,2418015,45.11
WIPRO,EQ,24-03-2020,170.15,168.5,181.75,168.05,178.25,176.35,176.78,6037867,1067378794,78461,1915865,31.73
WIPRO,EQ,25-03-2020,176.35,177.4,188,170.2,172.5,174.65,175.95,6728276,1183853668,81762,2397808,35.64
WIPRO,EQ,26-03-2020,174.65,176.95,186.8,172.5,180.6,182.6,180.17,5124357,923251037.3,46356,1769443,34.53
WIPRO,EQ,27-03-2020,182.6,183.15,189.5,181.5,184.65,183.5,185.15,6767560,1253023968,40065,3758545,55.54
WIPRO,EQ,30-03-2020,183.5,181.1,187.4,179.35,185.25,184.15,184.5,3667803,676692029.3,47445,1226199,33.43
WIPRO,EQ,31-03-2020,184.15,187,199.8,185.65,196.1,196.7,194.94,5307678,1034656565,62061,1789839,33.72
WIPRO,EQ,01-04-2020,196.7,195.7,195.7,187,188.65,189.5,190.06,4937836,938489498.4,63336,2572084,52.09
WIPRO,EQ,03-04-2020,189.5,188,189.6,177.75,180.15,180,181.23,6573737,1191349404,79843,2690631,40.93
WIPRO,EQ,07-04-2020,180,188.25,192.7,183.05,191.95,191.9,189.5,4781444,906101475.3,56566,1934399,40.46
WIPRO,EQ,08-04-2020,191.9,191.5,200,188.8,193,192.9,194.98,5137654,1001741684,53517,1739056,33.85
WIPRO,EQ,09-04-2020,192.9,198.4,202.95,195.05,196.6,196.7,197.6,3465831,684832186,36684,858786,24.78
WIPRO,EQ,13-04-2020,196.7,198,198,182.9,189.6,189.2,189.05,6193223,1170801308,69489,1817362,29.34
WIPRO,EQ,15-04-2020,189.2,190.05,193.6,185.8,186.45,186.55,189.46,11326600,2145934350,112441,3315828,29.27
WIPRO,EQ,16-04-2020,186.55,180,189.75,180,189,187.85,185.9,21690456,4032251772,150354,4103600,18.92
WIPRO,EQ,17-04-2020,187.85,192.5,193.75,185.55,187.2,187,188.26,6606453,1243751579,96023,2210202,33.46
WIPRO,EQ,20-04-2020,187,189,189,180.15,180.55,181.1,183.33,8101663,1485310275,79381,3735374,46.11
WIPRO,EQ,21-04-2020,181.1,179,179.9,173.8,178.3,178.05,176.98,9043319,1600479913,75722,3454927,38.2
WIPRO,EQ,22-04-2020,178.05,177,179.5,175.05,178.3,178.55,177.59,5311640,943280894.6,62150,2169513,40.84
WIPRO,EQ,23-04-2020,178.55,179.4,182.6,177.1,181,180.9,180.23,5555420,1001236516,54314,2444423,44
WIPRO,EQ,24-04-2020,180.9,179.95,180.8,177.15,178.2,177.75,178.12,4641140,826673995.7,50379,2393295,51.57
WIPRO,EQ,27-04-2020,177.75,180,182.9,175.5,182.4,182.05,179.43,9141635,1640288478,84011,3526120,38.57
WIPRO,EQ,28-04-2020,182.05,182.1,182.95,178,180.35,179.7,179.49,6664917,1196286572,51736,3419558,51.31
WIPRO,EQ,29-04-2020,179.7,180.1,182.45,179.4,180.8,180.65,180.9,5030900,910110030.6,50928,2529720,50.28
WIPRO,EQ,30-04-2020,180.65,185,192.6,183.55,191.15,190.95,188.19,8833932,1662419831,83434,3957684,44.8
WIPRO,EQ,04-05-2020,190.95,184.5,191.3,183.05,190.3,190.05,188.51,8570375,1615634269,72943,3573217,41.69
WIPRO,EQ,05-05-2020,190.05,191.45,194,182.2,185.85,184.2,187.31,6932589,1298557823,59026,2217581,31.99
WIPRO,EQ,06-05-2020,184.2,185.7,188,181,186.95,187.05,185.91,5442793,1011872179,54797,1969808,36.19
WIPRO,EQ,07-05-2020,187.05,184,185.4,181.2,184.25,184.1,183.62,5701094,1046832105,66725,1799187,31.56
WIPRO,EQ,08-05-2020,184.1,185.2,186,182.55,183.85,184,184.24,4113747,757908000.4,52916,1594100,38.75
WIPRO,EQ,11-05-2020,184,185,189.95,184.1,184.95,184.7,187.07,4393928,821993996,37691,1390710,31.65
WIPRO,EQ,12-05-2020,184.7,184.2,188,182.6,186.5,187.05,185.81,3515679,653261536.2,47880,636191,18.1
WIPRO,EQ,13-05-2020,187.05,191.5,191.5,185.15,190.3,189.7,188.53,5280548,995524952.7,56504,1480181,28.03
WIPRO,EQ,14-05-2020,189.7,184.75,187.35,183.1,185.7,186,185.49,5162330,957557788.8,51701,2160528,41.85
WIPRO,EQ,15-05-2020,186,186,186,182.65,183.6,183.8,184.48,3425171,631883825.1,35083,1448770,42.3
WIPRO,EQ,18-05-2020,183.8,182.05,185,179.6,182.25,182.2,182.35,7227687,1317989566,52137,1832090,25.35
WIPRO,EQ,19-05-2020,182.2,182.25,186,178,184.8,184.4,183.01,5743344,1051111542,59514,2212743,38.53
WIPRO,EQ,20-05-2020,184.4,185,185.9,182.2,185,184.95,184.14,7707953,1419320422,58552,2665779,34.58
WIPRO,EQ,21-05-2020,184.95,183.4,191.7,183.4,189.05,189.1,188.7,7129397,1345314993,52137,2121392,29.76
WIPRO,EQ,22-05-2020,189.1,189.05,190.85,186.45,189.5,189,188.73,4588831,866035350.6,35230,766469,16.7
WIPRO,EQ,26-05-2020,189,189,193.2,185.7,189.6,188.8,190.05,5911144,1123421414,63196,1251077,21.16
WIPRO,EQ,27-05-2020,188.8,189.6,205.5,187.7,201.8,201.25,195.53,18083494,3535790761,106522,6466503,35.76
WIPRO,EQ,28-05-2020,201.25,203.5,203.5,196.05,199.4,199.35,198.81,12347801,2454887720,101956,2872869,23.27
WIPRO,EQ,29-05-2020,199.35,199.35,214.9,196.15,211.9,212.8,208.47,30630218,6385618889,205122,7861782,25.67
WIPRO,EQ,01-06-2020,212.8,215.5,221,213.4,214.8,215.05,217.29,13374769,2906226343,107515,3264541,24.41
WIPRO,EQ,02-06-2020,215.05,215.1,218.55,210.95,216.45,215.85,215.74,6407279,1382294914,60225,965162,15.06
WIPRO,EQ,03-06-2020,215.85,216.1,217.45,210.55,212.1,211.35,212.6,8422156,1790570348,77553,2522401,29.95
WIPRO,EQ,04-06-2020,211.35,211.35,219.95,210.15,219.6,216.25,213.84,7397708,1581944982,63620,2524755,34.13
WIPRO,EQ,05-06-2020,216.25,220,220.25,215,218.8,218.75,217.89,7245834,1578777565,65850,1952875,26.95
WIPRO,EQ,08-06-2020,218.75,219,227.3,215.85,225.5,226.45,222.96,12213696,2723206066,107881,3082462,25.24
WIPRO,EQ,09-06-2020,226.45,224.1,226.3,217.15,218.1,218.35,222.64,7845381,1746679122,66958,1942997,24.77
WIPRO,EQ,10-06-2020,218.35,220,221.05,215.6,216.4,217,217.98,7394276,1611771352,62139,1572058,21.26
WIPRO,EQ,11-06-2020,217,217,217.65,212.35,213.05,212.9,215.5,6248955,1346648650,58639,2110663,33.78
WIPRO,EQ,12-06-2020,212.9,208,209.5,206.3,208.1,207.9,207.96,6209370,1291303999,56578,1028570,16.56
WIPRO,EQ,15-06-2020,207.9,211.95,217.9,208.15,213.3,213.8,213.18,14256050,3039167942,82008,2174604,15.25
WIPRO,EQ,16-06-2020,213.8,217.45,217.9,209.6,211.9,212.4,213.89,7960887,1702751725,60317,1008148,12.66
WIPRO,EQ,17-06-2020,212.4,212,218.75,211.05,217.6,217.8,216.87,13969454,3029546134,80014,3757319,26.9
WIPRO,EQ,18-06-2020,217.8,216.8,219.3,214.65,218.3,218.15,217.51,6204216,1349453473,63152,2244241,36.17
WIPRO,EQ,19-06-2020,218.15,218,224.1,215,222.9,222.05,219.42,11223711,2462761016,63633,5424173,48.33
WIPRO,EQ,22-06-2020,222.05,221.15,221.75,216.8,218.2,218.05,218.21,6481204,1414264915,46237,1879662,29
WIPRO,EQ,23-06-2020,218.05,215,222.3,213,220.2,220.6,219.1,7425152,1626821732,57371,1248952,32.69
WIPRO,EQ,24-06-2020,220.6,224,224,217.55,218.6,218.2,219.54,8246086,1810377891,54655,3305298,40.08
WIPRO,EQ,25-06-2020,218.2,216.95,222,215.3,217.75,218.2,219.18,5096856,1117147299,50544,1358094,26.65
WIPRO,EQ,26-06-2020,218.2,219.3,230,218.3,225.35,225.45,226.27,19194612,4343131086,123724,4260176,22.19
WIPRO,EQ,29-06-2020,225.45,222.05,225.9,218.7,219.2,219.7,221.82,6687961,1483520953,52424,1154429,17.26
WIPRO,EQ,30-06-2020,219.7,219.6,221.95,218,219.7,219.65,220.06,5501193,1210605092,47416,1255451,22.82
