Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
08-01-2020,15840.9,15974.85,15816.8,15953.45,27441490,2705.34
09-01-2020,15970.65,16017.25,15857.25,15925.15,27876904,2508.81
10-01-2020,16040.65,16059.35,15930.65,15959.9,20204002,1659.74
13-01-2020,16135.5,16275.2,16075.75,16225.9,61139484,4660.8
14-01-2020,16238.15,16385.95,16226.9,16362.35,34531792,2690.27
15-01-2020,16354.2,16366.75,16217.1,16346.85,35215518,2659.8
16-01-2020,16372.15,16423.85,16277.25,16381.65,26236130,1988.28
17-01-2020,16396.5,16447.35,16310.75,16356.6,20023292,1734.8
20-01-2020,16389.6,16465.05,16162.5,16207.15,27054398,2598.01
21-01-2020,16190.8,16221.5,16133.6,16175.2,17456561,1447.68
22-01-2020,16245.95,16404.6,16211.8,16334.55,26848118,2169.56
23-01-2020,16380.6,16501.2,16367.75,16474.4,30024513,2522.76
24-01-2020,16410.5,16498.75,16356.95,16472.75,21184459,1776.2
27-01-2020,16456.2,16483.9,16385.65,16393.55,13611766,1165.01
28-01-2020,16442.85,16448.05,16320.6,16429.75,19676966,1670.98
29-01-2020,16513.2,16577.95,16452,16479.3,22195772,2065.23
30-01-2020,16509,16514.1,16287.75,16327.9,18889354,1715.04
31-01-2020,16333.15,16365.8,16098.45,16144.15,26267958,2192.68
01-02-2020,16138.6,16319.75,15968.5,16282.65,20546938,1950.3
03-02-2020,16282,16418.9,16034.3,16059.9,28969680,2532.58
04-02-2020,16174.8,16377.45,16155.8,16350.85,25185175,2188.87
05-02-2020,16354.45,16463.6,16283.25,16448.55,21910979,1767.33
06-02-2020,16480.75,16621.35,16330.65,16371.15,23961376,1985.09
07-02-2020,16453,16493.25,16382.4,16470.15,15721118,1327.98
10-02-2020,16481.5,16522.4,16306.25,16431.9,18044996,1489.67
11-02-2020,16482.4,16512.1,16409.15,16452.3,16987352,1267.17
12-02-2020,16462.25,16599.05,16419.45,16538.1,18606682,1393.27
13-02-2020,16578.75,16696.85,16513.75,16673.05,18884410,1492.8
14-02-2020,16682.3,16828.2,16624.25,16642.75,19636956,1634.46
17-02-2020,16707.65,16737.65,16596.2,16647.7,13895849,1241.06
18-02-2020,16586.9,16773.2,16526.4,16748.75,20798165,1817.24
19-02-2020,16796.4,16882.45,16754.25,16772.45,16905540,1467.37
20-02-2020,16826.3,16843.65,16623.9,16649.4,20306178,1757.97
24-02-2020,16642.75,16749.25,16416.85,16461.8,23422521,2023.35
25-02-2020,16490.4,16642.4,16443.25,16562.5,25320628,2212.93
26-02-2020,16497.15,16539.25,16297.25,16332.25,26844091,2193.97
27-02-2020,16244.95,16258.65,16053.7,16123.8,24504768,1889.1
28-02-2020,15726.15,15788.45,15156.8,15212.95,42938991,3355.36
02-03-2020,15355.05,15722,15298,15427.65,36517724,2739.82
03-03-2020,15615.05,15793.1,15495.7,15723.2,29631724,2394.91
04-03-2020,15824.9,15919.95,15612.75,15864.3,32079819,2600.65
05-03-2020,15912.05,16150.6,15841.1,15871.35,26935544,2328.27
06-03-2020,15607.35,15699.95,15443,15663.45,26044423,2019.43
09-03-2020,15333.55,15371,14705.4,14854.9,36824488,2743.3
11-03-2020,14524.15,14823.8,14356.1,14681.4,43270683,3498.74
12-03-2020,14177.4,14231.95,13317.65,13384.8,42866258,3442.76
13-03-2020,12561.95,13835.35,11624.85,13539.1,47446373,3454.27
16-03-2020,12963.7,13078.65,12355.15,12451.35,49460331,3524.31
17-03-2020,12517.5,12677.2,11999.55,12099.25,44085983,2772.08
18-03-2020,12287.8,12451.1,11643.9,11753,45464744,2952.46
19-03-2020,11183.95,11698.3,10991.25,11340,52457773,2937.71
20-03-2020,11382.4,12710.55,11363.5,12363.4,66433629,4246.42
23-03-2020,11328.25,11602.45,11108.65,11179.6,44666228,2846.42
24-03-2020,11159.75,12053.8,11159.3,11865.05,51315528,3237.37
25-03-2020,11856.9,12514.25,11657.25,12233.35,47599771,2691.8
26-03-2020,12496.95,12751.55,12306.35,12535.6,47125315,2979.31
27-03-2020,12778.15,12949.6,12403.85,12569.1,43319863,2669.02
